datetime,cloud_cover,month
2025-06-29 17:07:18.107000+00:00,82.74,6
2025-06-29 17:05:01.583000+00:00,84.24,6
2025-06-29 17:09:44.953000+00:00,71.6,6
2025-06-29 17:07:09.723000+00:00,74.62,6
2025-06-29 17:09:08.776000+00:00,77.17,6
2025-06-29 17:06:33.245000+00:00,78.8,6
2025-06-29 17:05:43.602000+00:00,98.55,6
2025-06-29 17:07:22.041000+00:00,94.98,6
2025-06-29 17:09:52.396000+00:00,89.0,6
2025-06-29 17:09:15.261000+00:00,94.18,6
2025-06-29 17:07:44.365000+00:00,37.46,6
2025-06-29 17:07:12.687000+00:00,47.72,6
2025-06-29 17:06:04.853000+00:00,86.77,6
2025-06-29 17:05:07.062000+00:00,42.15,6
2025-06-29 17:10:11.584000+00:00,53.46,6
2025-06-29 17:10:02.127000+00:00,84.87,6
2025-06-29 17:07:38.372000+00:00,93.67,6
2025-06-29 17:10:01.023000+00:00,51.44,6
2025-06-29 17:09:00.038000+00:00,83.0,6
2025-06-29 17:09:20.823000+00:00,97.57,6
2025-06-29 15:13:50.244000+00:00,95.05,6
2025-06-29 15:14:14.343000+00:00,87.48,6
2025-06-29 15:15:24.593000+00:00,78.75,6
2025-06-29 15:13:52.955000+00:00,79.53,6
2025-06-29 15:13:14.060000+00:00,76.47,6
2025-06-29 14:51:28.002000+00:00,99.34,6
2025-06-29 15:14:54.407000+00:00,82.52,6
2025-06-29 15:15:58.606000+00:00,79.1,6
2025-06-29 15:13:36.127000+00:00,51.23,6
2025-06-29 15:14:54.865000+00:00,93.01,6
2025-06-29 15:13:22.325000+00:00,94.13,6
2025-06-29 15:14:08.662000+00:00,62.57,6
2025-06-29 15:12:53.042000+00:00,18.02,6
2025-06-29 15:13:57.004000+00:00,99.22,6
2025-06-29 15:24:55.791000+00:00,88.25,6
2025-06-29 15:27:33.125000+00:00,72.2,6
2025-06-29 15:14:05.285000+00:00,68.22,6
2025-06-29 15:12:36.156000+00:00,98.66,6
2025-06-29 15:14:05.672000+00:00,98.58,6
2025-06-29 15:13:54.202000+00:00,74.27,6
2025-06-29 15:25:46.417000+00:00,72.76,6
2025-06-29 15:14:36.843000+00:00,60.09,6
2025-06-29 15:14:04.742000+00:00,39.92,6
